,Country,time ,Armed forces occupations_Female,Armed forces occupations_Male,Managers_Female,Managers_Male,Professionals_Female,Professionals_Male,Technicians and associate professionals_Female,Technicians and associate professionals_Male,Clerical support workers_Female,Clerical support workers_Male,Service and sales workers_Female,Service and sales workers_Male,"Skilled agricultural, forestry and fishery workers_Female","Skilled agricultural, forestry and fishery workers_Male",Craft and related trades workers_Female,Craft and related trades workers_Male,"Plant and machine operators, and assemblers_Female","Plant and machine operators, and assemblers_Male",Elementary_Female,Elementary_Male
174,Dominican Republic,2016,116.0,85.17,203.92,234.41,177.42,208.48,110.56,103.23,60.53,78.52,52.06,54.81,34.31,49.34,46.98,69.5,46.76,73.34,46.29,52.02
175,Dominican Republic,2017,102.42,83.34,257.1,253.07,209.62,255.27,113.28,118.86,64.74,87.32,58.99,60.68,76.01,54.52,54.27,70.77,49.77,78.04,48.79,51.03
176,Dominican Republic,2018,111.23,98.29,238.85,346.0,220.49,243.14,111.03,139.0,70.54,91.76,63.49,65.85,62.36,60.42,52.82,79.86,52.35,85.06,53.34,55.94
177,Dominican Republic,2019,264.82,95.73,304.24,346.98,232.2,283.45,120.73,140.44,68.79,96.0,67.72,68.04,75.25,59.07,57.37,84.67,56.78,85.75,58.91,60.51
178,Dominican Republic,2020,255.76,170.5,317.68,400.72,351.91,440.91,149.21,168.45,84.17,117.32,78.04,84.1,56.91,75.77,76.97,97.41,73.08,102.62,83.24,74.45
179,Dominican Republic,2021,164.95,143.76,365.6,484.07,318.85,349.2,151.84,186.52,83.41,124.28,79.39,86.75,58.51,76.07,77.28,99.19,85.65,101.65,84.88,76.96
180,Dominican Republic,2022,157.87,134.78,313.15,425.79,269.2,308.05,173.49,178.24,88.22,136.95,91.86,96.38,70.21,84.92,92.69,114.66,102.53,116.01,93.27,90.69
181,Dominican Republic,2023,229.65,195.07,319.82,464.48,290.64,355.66,197.15,263.41,111.85,155.49,105.8,111.1,84.64,95.07,109.65,128.39,116.15,130.25,105.41,98.89
183,Ecuador,2016,4.32,5.17,5.69,6.38,3.87,4.92,2.96,3.28,2.32,2.29,1.66,2.03,1.32,1.38,1.37,1.76,1.79,2.15,1.52,1.5
184,Ecuador,2017,6.25,5.34,6.1,6.62,3.95,4.98,2.99,3.53,2.41,2.31,1.64,2.05,1.32,1.39,1.44,1.81,1.69,2.12,1.58,1.48
185,Ecuador,2018,4.66,5.3,6.76,7.64,4.12,4.86,3.1,3.48,2.48,2.51,1.63,2.18,1.41,1.43,1.47,1.82,1.73,2.1,1.57,1.51
186,Ecuador,2019,4.13,5.36,6.68,7.31,4.13,4.94,3.29,3.64,2.56,2.51,1.69,2.17,1.47,1.42,1.58,1.87,1.7,2.17,1.7,1.56
187,Ecuador,2020,4.81,5.15,5.75,6.6,3.87,4.8,2.81,2.81,2.37,2.35,1.63,2.02,1.29,1.37,1.38,1.72,1.67,2.0,1.5,1.36
188,Egypt,2009,0.26,0.55,0.43,0.47,0.36,0.45,0.31,0.36,0.41,0.33,0.55,0.67,2.74,3.23,0.63,2.87,0.47,1.07,1.02,0.65
189,Egypt,2010,4.12,5.06,5.38,6.14,3.43,4.65,3.14,3.95,3.2,3.71,2.51,3.19,4.0,4.57,3.12,4.46,2.08,4.0,2.3,2.76
190,Egypt,2011,5.09,5.48,7.1,8.28,7.27,7.38,5.16,5.14,4.55,4.85,3.84,3.95,5.82,4.49,3.44,5.46,4.1,4.61,3.57,3.67
